full_text,tokenized_text
  tau tempat beli botol vial offline dimana,"['tau', 'beli', 'botol', 'vial', 'offline', 'dimana']"
itsfess pameran free hari ini bangetgasin rekkk di dr angka,"['itsfess', 'pameran', 'free', 'bangetgasin', 'rekkk', 'dr', 'angka']"
buat    pernah berhasil banding ukt boleh tanya tanya kah sender mau tanya tentang banding ukt terima kasih,"['berhasil', 'banding', 'ukt', 'kah', 'sender', 'banding', 'ukt', 'terima', 'kasih']"
itu maksudnya pengumuman hasil japres dimundurin jadi tanggal kah,"['maksudnya', 'pengumuman', 'hasil', 'japres', 'dimundurin', 'tanggal', 'kah']"
maba maba its   tau   beli bapel  sesuai standart its dimana atau mungkin  kakak  jual bisa rep dikomen  nnti aku ketuk dm nya makasii,"['maba', 'maba', 'its', 'tau', 'beli', 'bapel', 'sesuai', 'standart', 'its', 'dimana', 'kakak', 'jual', 'rep', 'dikomen', 'nnti', 'ketuk', 'dm', 'nya', 'makasii']"
pengen nitip rekomendasi stylus pen universall,"['pengen', 'nitip', 'rekomendasi', 'stylus', 'pen', 'universall']"
up info  plsss,"['up', 'info', 'plsss']"
info pom mini daerah keputih  motor sender habis bensin,"['info', 'pom', 'mini', 'daerah', 'keputih', 'motor', 'sender', 'habis', 'bensin']"
rekomendasi tempat gym ,"['rekomendasi', 'gym']"
mau wawancara narsum untuk analisis delphi  pertama kalinya kasih tips dan saran ,"['wawancara', 'narsum', 'analisis', 'delphi', 'kalinya', 'kasih', 'tips', 'saran']"
info   mau nyewain pointer ngga ,"['info', 'nyewain', 'pointer', 'ngga']"
cara dapetin surat keterangan sedang berkuliah buat bpjs itu gimana ,"['dapetin', 'surat', 'keterangan', 'berkuliah', 'bpjs', 'gimana']"
info isi ulang galon di keputih  udah buka ,"['info', 'isi', 'ulang', 'galon', 'keputih', 'udah', 'buka']"
 gemen sender,"['gemen', 'sender']"
di kejawan  kebakaran,"['kejawan', 'kebakaran']"
hii boleh minta tolong bantu like videokuuu kl mau barter boleh bgtttttaku drop di rep yaa,"['hii', 'tolong', 'bantu', 'like', 'videokuuu', 'kl', 'barter', 'bgtttttaku', 'drop', 'rep', 'yaa']"
jmmi tu ngapain aja sihh kok kayake sibuk truss,"['jmmi', 'tu', 'ngapain', 'aja', 'sihh', 'kayake', 'sibuk', 'truss']"
